Cluster ID	Status	Cluster name	Size	Cluster members	Organisms	Length	Identity
UniRef50_A2TK72	reviewed	Cluster: Zinc metalloproteinase recombinant fibrinogenase II (Fragment)	1	A2TK72	Deinagkistrodon acutus (Hundred-pace snake) (Agkistrodon acutus)	233	50%
UniRef50_A2VBC4	partially reviewed	Cluster: Phospholipase A1	19	A2VBC4; Q9U6W0; P53357; P49369; P51528; Q3ZU95; E7D4M5; P0CH87; Q6Q249; Q6Q252; Q6Q251; Q6Q250; P0DMB5; P0DMB4; P0DMB7; P0DMB8; P0CH47; Q06478; P0CH86	Polybia paulista (Neotropical social wasp) (Swarm-founding polistine wasp); Polistes annularis (Paper wasp); Dolichovespula maculata (Bald-faced hornet) (Vespula maculata); Vespula vulgaris (Yellow jacket) (Wasp); Vespula maculifrons (Eastern yellow jacket) (Wasp); Vespula germanica (German yellow jacket) (Paravespula germanica); Vespa crabro (European hornet); Polistes dominula (European paper wasp) (Vespa dominula); Vespa affinis (Lesser banded hornet); Vespa velutina (Asian yellow-legged hornet); Vespa magnifica (Hornet); Vespula squamosa (Southern yellow jacket) (Wasp)	322	50%
UniRef50_A3DT44	reviewed	Cluster: Kappa-conotoxin Ac4.2 (Fragment)	1	A3DT44	Conus achatinus (Little frog cone)	41	50%
UniRef50_A3F7X2	reviewed	Cluster: U3-theraphotoxin-Lsp1a	1	A3F7X2	Lasiodora sp. (strain IBSP 8539) (Brazilian salmon pink birdeater) (Brazilian salmon pink tarantula)	116	50%
UniRef50_A3FM55	partially reviewed	Cluster: C-type lectin 1	16	A3FM55; A0A0B8RYV3; A0A0B8RZW5; R4FJR2; C6JUN6; R4FJL5; R4G2J1; A0A098LWY1; R4G2E2; A7X406; A7X409; A0A098LYH5; A0A098M188; A0A098M1A1; A7X413; R4G7L6	Hydrophis hardwickii (Hardwicks spine-bellied seasnake) (Lapemis hardwickii); Boiga irregularis (Brown tree snake); Furina ornata; Micrurus corallinus (Brazilian coral snake); Denisonia devisi (De Vis banded snake); Pseudonaja modesta; Pantherophis guttatus (Corn snake); Brachyurophis roperi (Northern shovel-nosed snake); Philodryas olfersii (Green snake); Hypsiglena sp. JMG-2014; Erythrolamprus poecilogyrus (Water snake) (Liophis poecilogyrus); Vermicella annulata (Eastern bandy-bandy)	164	50%
UniRef50_A3QVN3	partially reviewed	Cluster: Hyaluronidase-1	12	A3QVN3; A3QVN5; A3QVN9; A3QVN6; A3QVP0; A3QVN4; A0A0B8RZW3; M3Y5X1; F6WH69; UPI0004627CF6; G1K953; G3WBT7	Cerastes cerastes (Horned desert viper); Bitis arietans (African puff adder); Echis pyramidum leakeyi (Leakeys carpet viper) (Echis carinatus leakeyi); Boiga irregularis (Brown tree snake); Mustela putorius furo (European domestic ferret) (Mustela furo); Monodelphis domestica (Gray short-tailed opossum); Anolis carolinensis (Green anole) (American chameleon); Sarcophilus harrisii (Tasmanian devil) (Sarcophilus laniarius)	449	50%
UniRef50_A5X2W8	partially reviewed	Cluster: Three-finger toxin 3	6	A5X2W8; A7X3Q4; A0A098LYI5; A0A0A1WCI9; A0A098LWV3; U3T794	Sistrurus catenatus edwardsii (Desert massasauga) (Crotalophorus edwardsii); Dispholidus typus (Boomslang) (Bucephalus typus); Pantherophis guttatus (Corn snake); Echis coloratus (Carpet viper); Opheodrys aestivus; Protobothrops flavoviridis (Habu) (Trimeresurus flavoviridis)	89	50%
UniRef50_A5X2X1	partially reviewed	Cluster: Fused toxin protein	6	A5X2X1; D3U0D3; D3U2B9; D3U0D4; A0A0A1WCH1; V8N4F6	Sistrurus catenatus edwardsii (Desert massasauga) (Crotalophorus edwardsii); Sistrurus catenatus tergeminus (Western massasauga) (Crotalus tergeminus); Echis coloratus (Carpet viper); Ophiophagus hannah (King cobra) (Naja hannah)	152	50%
UniRef50_A6YR20	reviewed	Cluster: Mu-conotoxin cal12a	8	A6YR20; A6YR21; D6C4I3; A7LI92; A6YR42; P0DJC1; A7LI90; A6YR40	Conus californicus (California cone)	87	50%
UniRef50_A6YR23	reviewed	Cluster: Mu-conotoxin-like Cal 12.1.1c	12	A6YR23; A6YR24; A6YR29; A6YR28; A6YR30; A6YR41; A6YR36; A6YR31; A6YR33; A6YR37; A6YR34; A6YR26	Conus californicus (California cone)	45	50%
UniRef50_A7KJJ7	partially reviewed	Cluster: Potassium channel blocker alpha-KTx 26.1	4	A7KJJ7; A0A088D9T9; A0A059UI21; E4VP41	Mesobuthus martensii (Manchurian scorpion) (Buthus martensii); Mesobuthus eupeus (Lesser Asian scorpion) (Buthus eupeus); Mesobuthus gibbosus (Mediterranean checkered scorpion)	57	50%
UniRef50_A7LCJ2	reviewed	Cluster: Phospholipase A2	1	A7LCJ2	Urticina crassicornis (Mottled anemone) (Tealia crassicornis)	155	50%
UniRef50_A7LI91	reviewed	Cluster: Mu-conotoxin-like Cal 12.2c (Fragment)	2	A7LI91; A9UH01	Conus californicus (California cone)	43	50%
UniRef50_A7RMN1	partially reviewed	Cluster: Predicted protein NvePTx1	2	A7RMN1; UPI00015B30E1	Nematostella vectensis (Starlet sea anemone)	84	50%
UniRef50_A7X3M3	reviewed	Cluster: Toxin 3FTx-Psa1	2	A7X3M3; A7X3R6	Psammophis mossambicus (Olive sand snake); Leioheterodon madagascariensis (Malagasy giant hognose snake) (Heterodon madagascariensis)	90	50%
UniRef50_A7X3M9	reviewed	Cluster: Probable weak neurotoxin 3FTx-Lio1	1	A7X3M9	Erythrolamprus poecilogyrus (Water snake) (Liophis poecilogyrus)	85	50%
UniRef50_A7X3W1	partially reviewed	Cluster: C-type lectin lectoxin-Enh1	5	A7X3W1; A7X3W6; A7XQ54; A7XQ60; A7XQ58	Pseudoferania polylepis (Macleays water snake) (Enhydris polylepis)	111	50%
UniRef50_A7X401	partially reviewed	Cluster: C-type lectin lectoxin-Lei1	21	A7X401; R4FI85; R4FJF4; D2YVH9; I6LJ71; D2YVI0; I6LJ72; R4G2V3; R4G2G4; D2YVI9; D2YVI8; R4G7F7; D2YVK8; R4G300; D2YVK7; H8PG89; R4G7K0; R4G2N8; A0A098LYB4; U3FVH4; C6JUN5	Leioheterodon madagascariensis (Malagasy giant hognose snake) (Heterodon madagascariensis); Brachyurophis roperi (Northern shovel-nosed snake); Oxyuranus scutellatus (Coastal taipan); Oxyuranus microlepidotus (Inland taipan); Furina ornata; Pseudechis australis (Mulga snake) (King brown snake); Cacophis squamulosus; Notechis scutatus (mainland tiger snake); Hoplocephalus bungaroides; Parasuta nigriceps (Mallee black-backed snake); Pseudonaja modesta; Acanthophis wellsi; Opheodrys aestivus; Micrurus fulvius (Eastern coral snake) (Coluber fulvius); Micrurus corallinus (Brazilian coral snake)	156	50%
UniRef50_A7X4I7	partially reviewed	Cluster: Waprin-Thr1	6	A7X4I7; A0A0B8RYU0; R4FKF1; A7X4L4; A0A098LY60; R4G2S5	Thrasops jacksonii (Jacksons black tree snake); Boiga irregularis (Brown tree snake); Vermicella annulata (Eastern bandy-bandy); Erythrolamprus poecilogyrus (Water snake) (Liophis poecilogyrus); Python regius (Ball python) (Boa regia); Denisonia devisi (De Vis banded snake)	70	50%
UniRef50_A7X4J4	partially reviewed	Cluster: Waprin-Rha1	12	A7X4J4; A2A5G4; A0A093GNK6; UPI000395B7A3; A0A091I6Y9; UPI000395501B; UPI000521B0C1; UPI000392DE46; UPI00051AEE59; A0A098LWQ3; UPI0003C83597; UPI0004C1229A	Rhabdophis tigrinus tigrinus (Tiger keelback snake); Mus musculus (Mouse); Picoides pubescens (Downy woodpecker) (Dryobates pubescens); Pseudopodoces humilis (Tibetan ground jay) (Podoces humilis); Calypte anna (Annas hummingbird) (Archilochus anna); Geospiza fortis (Medium ground-finch); Falco cherrug (Saker falcon); Cuculus canorus (common cuckoo); Python regius (Ball python) (Boa regia); Vicugna pacos (Alpaca) (Lama pacos)	76	50%
UniRef50_A7X4K1	partially reviewed	Cluster: Waprin-Phi1	11	A7X4K1; UPI0004423498; A0A098LX03; A0A098LWV7; A0A098LWL9; UPI000388D4B0; A0A098M207; J3RYA6; UPI0003D0E7DC; UPI0003C2AC87; A0A0A1WDR6	Philodryas olfersii (Green snake); Python bivittatus (Burmese python) (Python molurus bivittatus); Pantherophis guttatus (Corn snake); Opheodrys aestivus; Eublepharis macularius (Leopard gecko) (Cyrtodactylus macularius); Chrysemys picta bellii (Western painted turtle) (Emys bellii); Hypsiglena sp. JMG-2014; Crotalus adamanteus (Eastern diamondback rattlesnake); Alligator mississippiensis (American alligator); Alligator sinensis (Chinese alligator); Echis coloratus (Carpet viper)	134	50%
UniRef50_A7X4K7	partially reviewed	Cluster: Waprin-Phi2	2	A7X4K7; U3TAK5	Philodryas olfersii (Green snake); Ovophis okinavensis (Ryukyu Island pit viper) (Trimeresurus okinavensis)	73	50%
UniRef50_A7X4M1	partially reviewed	Cluster: Waprin-Enh1	2	A7X4M1; UPI0004626439	Pseudoferania polylepis (Macleays water snake) (Enhydris polylepis); Anolis carolinensis (Green anole) (American chameleon)	118	50%
UniRef50_A7X4M7	partially reviewed	Cluster: Waprin-Phi3	6	A7X4M7; R4FIA0; A0A098LYB2; A0A098LYH3; A0A098LYG1; A0A098LYC2	Philodryas olfersii (Green snake); Cacophis squamulosus; Opheodrys aestivus; Pantherophis guttatus (Corn snake)	80	50%
UniRef50_A7X4T8	partially reviewed	Cluster: Cysteine-rich venom protein Cau1 (Fragment)	3	A7X4T8; Q9N0J1; K7GKZ6	Causus rhombeatus (Rhombic night adder); Bos taurus (Bovine); Sus scrofa (Pig)	116	50%
UniRef50_A7X6J0	partially reviewed	Cluster: Toxin 3FTx-Dis4	8	A7X6J0; A7X6I4; A0A098LY55; A0A098LWU5; A0A098LYB1; A7X3Q9; A0A098LYG6; A0A098LYI1	Dispholidus typus (Boomslang) (Bucephalus typus); Thrasops jacksonii (Jacksons black tree snake); Python regius (Ball python) (Boa regia); Opheodrys aestivus; Trimorphodon biscutatus (Western lyre snake); Pantherophis guttatus (Corn snake)	86	50%
UniRef50_A8YPR6	reviewed	Cluster: Snake venom metalloprotease inhibitor 02D01	1	A8YPR6	Echis ocellatus (Ocellated saw-scaled viper)	308	50%
UniRef50_A8YPR9	reviewed	Cluster: Snake venom metalloprotease inhibitor 02A10	1	A8YPR9	Cerastes cerastes (Horned desert viper)	302	50%
UniRef50_A9QLM3	partially reviewed	Cluster: Toxin KTx8	3	A9QLM3; A0A088DB40; B5KF99	Lychas mucronatus (Chinese swimming scorpion); Mesobuthus eupeus (Lesser Asian scorpion) (Buthus eupeus); Mesobuthus martensii (Manchurian scorpion) (Buthus martensii)	65	50%
UniRef50_A9QQ26	reviewed	Cluster: Venom allergen 5	1	A9QQ26	Lycosa singoriensis (Wolf spider) (Aranea singoriensis)	375	50%
UniRef50_A9XDG4	reviewed	Cluster: Omega-lycotoxin-Gsp2671f (Fragment)	2	A9XDG4; A9XDG5	Geolycosa sp. (strain A267TDLS2-KZARNA) (Wolf spider) (Lycosa kazakhstanicus)	65	50%
UniRef50_A9YME1	reviewed	Cluster: Venom allergen 5	1	A9YME1	Microctonus hyperodae (Parasitoid wasp)	232	50%
UniRef50_B0KZ78	partially reviewed	Cluster: Conotoxin Bt15a	26	B0KZ78; S4UKJ2; C8CK80; S4UJW7; S4UK96; A0A0E3SVB4; C8CK79; C8CK78; C8CK76; B0KZ79; A0A0C9SFL3; A0A0C9S5T0; S4UJQ4; S4UJE3; Q2I2Q6; Q3YEF2; A0A0E3SVE1; S4UJE2; C8CK75; S4UJW9; C8CK77; C8CK74; A0A0E3X2D0; S4UJZ6; M9PQB6; S4UJQ2	Conus betulinus (Beech cone); Conus rattus (Rat cone); Conus caracteristicus (Characteristic cone); Conus vitulinus (Calf cone) (Conus planorbis vitulinus); Conus miles (Soldier cone) (Mile cone); Conus vexillum (Flag cone); Conus capitaneus (Captain cone); Conus lividus (Livid cone); Conus emaciatus (False virgin cone); Conus tribblei; Conus striatus (Striated cone); Conus varius (Varius cone); Conus litteratus (Lettered cone); Conus virgo (Virgin cone); Conus textile (Cloth-of-gold cone); Conus distans (Distant cone)	87	50%
UniRef50_B0L0Y6	reviewed	Cluster: Putative conotoxin	1	B0L0Y6	Conus caracteristicus (Characteristic cone)	107	50%
UniRef50_B0VXV8	partially reviewed	Cluster: Bradykinin potentiating and C-type natriuretic peptides	4	B0VXV8; T1E7J2; T1DP71; K4IT20	Sistrurus catenatus edwardsii (Desert massasauga) (Crotalophorus edwardsii); Crotalus oreganus helleri (Southern pacific rattlesnake) (Crotalus viridis helleri); Azemiops feae (Feas viper)	201	50%
UniRef50_B1B5I8	partially reviewed	Cluster: Kunitz-type proteinase inhibitor SHTX-3	2	B1B5I8; A0A016WJV5	Stichodactyla haddoni (Saddle carpet anemone) (Haddons sea anemone); Ancylostoma ceylanicum	81	50%
UniRef50_B1B5I9	reviewed	Cluster: Sodium channel toxin SHTX-4	1	B1B5I9	Stichodactyla haddoni (Saddle carpet anemone) (Haddons sea anemone)	84	50%
UniRef50_B1P1A2	reviewed	Cluster: U2-theraphotoxin-Cg1a (Fragment)	1	B1P1A2	Chilobrachys guangxiensis (Chinese earth tiger tarantula) (Chilobrachys jingzhao)	55	50%
UniRef50_B1P1B1	reviewed	Cluster: U4-theraphotoxin-Cg1a	5	B1P1B1; B1P1B2; B1P1B0; B3FIU2; B1P1B3	Chilobrachys guangxiensis (Chinese earth tiger tarantula) (Chilobrachys jingzhao); Haplopelma schmidti (Chinese bird spider) (Ornithoctonus huwenum)	74	50%
UniRef50_B1P1B8	reviewed	Cluster: Delta-theraphotoxin-Cg1a	4	B1P1B8; P83974; B1P1B7; B1P1B9	Chilobrachys guangxiensis (Chinese earth tiger tarantula) (Chilobrachys jingzhao)	62	50%
UniRef50_B1P1D4	reviewed	Cluster: U12-theraphotoxin-Cg1a	1	B1P1D4	Chilobrachys guangxiensis (Chinese earth tiger tarantula) (Chilobrachys jingzhao)	65	50%
UniRef50_B1P1E6	reviewed	Cluster: U14-theraphotoxin-Cg1b	5	B1P1E6; B1P1E8; B1P1E7; B1P1E5; B1P1E9	Chilobrachys guangxiensis (Chinese earth tiger tarantula) (Chilobrachys jingzhao)	77	50%
UniRef50_B1P1F0	reviewed	Cluster: U15-theraphotoxin-Cg1a	1	B1P1F0	Chilobrachys guangxiensis (Chinese earth tiger tarantula) (Chilobrachys jingzhao)	83	50%
UniRef50_B1P1F1	reviewed	Cluster: U16-theraphotoxin-Cg1a	4	B1P1F1; B1P1F2; B1P1H2; P0DM66	Chilobrachys guangxiensis (Chinese earth tiger tarantula) (Chilobrachys jingzhao); Selenotypus plumipes (Australian featherleg tarantula)	79	50%
UniRef50_B1P1F9	reviewed	Cluster: U20-theraphotoxin-Cg1a	3	B1P1F9; B1P1F8; B1P1F6	Chilobrachys guangxiensis (Chinese earth tiger tarantula) (Chilobrachys jingzhao)	83	50%
UniRef50_B1P1G8	partially reviewed	Cluster: U22-theraphotoxin-Cg1a	23	B1P1G8; D2Y237; P61104; B3FIU4; D2Y2F0; D2Y239; D2Y2F1; D2Y2E8; D2Y2L7; D2Y238; D2Y2E9; D2Y2L8; D2Y2L5; D2Y236; M5AXK5; M5AWR7; M5AWS0; M5AYA8; P56852; M5AYA3; P56853; M5AXJ9; H7CEK6	Chilobrachys guangxiensis (Chinese earth tiger tarantula) (Chilobrachys jingzhao); Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana); Haplopelma schmidti (Chinese bird spider) (Ornithoctonus huwenum); Grammostola rosea (Chilean rose tarantula) (Grammostola spatulata)	86	50%
UniRef50_B1P1G9	reviewed	Cluster: U23-theraphotoxin-Cg1a	1	B1P1G9	Chilobrachys guangxiensis (Chinese earth tiger tarantula) (Chilobrachys jingzhao)	78	50%
UniRef50_B1P1H0	reviewed	Cluster: U23-theraphotoxin-Cg1a	1	B1P1H0	Chilobrachys guangxiensis (Chinese earth tiger tarantula) (Chilobrachys jingzhao)	50	50%
UniRef50_B1P1H3	reviewed	Cluster: U25-theraphotoxin-Cg1a	3	B1P1H3; B1P1H5; B1P1H4	Chilobrachys guangxiensis (Chinese earth tiger tarantula) (Chilobrachys jingzhao)	83	50%
UniRef50_B1P1H7	reviewed	Cluster: U26-theraphotoxin-Cg1b	12	B1P1H7; B1P1H6; W4VRW4; W4VS15; W4VS20; W4VRW6; W4VRU5; W4VRW1; W4VRU8; W4VSA7; W4VRU6; W4VSI4	Chilobrachys guangxiensis (Chinese earth tiger tarantula) (Chilobrachys jingzhao); Trittame loki (Brush-footed trapdoor spider)	109	50%
UniRef50_B1P1H9	partially reviewed	Cluster: U28-theraphotoxin-Cg1a	5	B1P1H9; M5AXL3; M5AYB3; M5B4Q9; M5AY67	Chilobrachys guangxiensis (Chinese earth tiger tarantula) (Chilobrachys jingzhao); Grammostola rosea (Chilean rose tarantula) (Grammostola spatulata)	103	50%
UniRef50_B1P1I0	reviewed	Cluster: U29-theraphotoxin-Cg1a	1	B1P1I0	Chilobrachys guangxiensis (Chinese earth tiger tarantula) (Chilobrachys jingzhao)	78	50%
UniRef50_B1P1I2	partially reviewed	Cluster: U30-theraphotoxin-Cg1b	9	B1P1I2; B1P1I1; D2Y2D9; D2Y2D8; B3FIP0; D2Y2B8; D2Y2B7; D2Y2B6; D2Y2B9	Chilobrachys guangxiensis (Chinese earth tiger tarantula) (Chilobrachys jingzhao); Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana); Haplopelma schmidti (Chinese bird spider) (Ornithoctonus huwenum)	116	50%
UniRef50_B1P1I3	reviewed	Cluster: U31-theraphotoxin-Cg1a	2	B1P1I3; B1P1I4	Chilobrachys guangxiensis (Chinese earth tiger tarantula) (Chilobrachys jingzhao)	115	50%
UniRef50_B1P1I6	reviewed	Cluster: U32-theraphotoxin-Cg1a	2	B1P1I6; B1P1I5	Chilobrachys guangxiensis (Chinese earth tiger tarantula) (Chilobrachys jingzhao)	110	50%
UniRef50_B1P1I8	reviewed	Cluster: U37-theraphotoxin-Cg1b	2	B1P1I8; B1P1I7	Chilobrachys guangxiensis (Chinese earth tiger tarantula) (Chilobrachys jingzhao)	50	50%
UniRef50_B1P1I9	reviewed	Cluster: U33-theraphotoxin-Cg1a	3	B1P1I9; B1P1J0; B1P1J1	Chilobrachys guangxiensis (Chinese earth tiger tarantula) (Chilobrachys jingzhao)	124	50%
UniRef50_B1P1J2	reviewed	Cluster: U34-theraphotoxin-Cg1a	1	B1P1J2	Chilobrachys guangxiensis (Chinese earth tiger tarantula) (Chilobrachys jingzhao)	134	50%
UniRef50_B1P1J3	reviewed	Cluster: Cystatin-1	1	B1P1J3	Chilobrachys guangxiensis (Chinese earth tiger tarantula) (Chilobrachys jingzhao)	134	50%
UniRef50_B1P1J4	reviewed	Cluster: U35-theraphotoxin-Cg1a	1	B1P1J4	Chilobrachys guangxiensis (Chinese earth tiger tarantula) (Chilobrachys jingzhao)	134	50%
UniRef50_B1P1J5	partially reviewed	Cluster: U36-theraphotoxin-Cg1a	4	B1P1J5; B3FIP2; B3FIP1; M5AXR5	Chilobrachys guangxiensis (Chinese earth tiger tarantula) (Chilobrachys jingzhao); Haplopelma schmidti (Chinese bird spider) (Ornithoctonus huwenum); Grammostola rosea (Chilean rose tarantula) (Grammostola spatulata)	93	50%
UniRef50_B2BS84	partially reviewed	Cluster: Putative Kunitz-type serine protease inhibitor	8	B2BS84; U3FYQ3; R4G2I6; R4FJW6; UPI00051E2FB6; A0A098M235; UPI00044222A8; A0A098LWQ8	Austrelaps labialis (Pygmy copperhead) (Denisonia superba); Micrurus fulvius (Eastern coral snake) (Coluber fulvius); Hoplocephalus bungaroides; Hemiaspis signata; Struthio camelus australis; Hypsiglena sp. JMG-2014; Python bivittatus (Burmese python) (Python molurus bivittatus); Python regius (Ball python) (Boa regia)	252	50%
UniRef50_B2CS62	reviewed	Cluster: Conotoxin Ca15a (Fragment)	1	B2CS62	Conus caracteristicus (Characteristic cone)	35	50%
UniRef50_B2D0J4	partially reviewed	Cluster: Venom dipeptidyl peptidase 4	35	B2D0J4; A0A088A1D0; UPI0003DF65F3; UPI000623B729; UPI000623B956; A4UA14; UPI0005D3BB05; UPI000614E0BE; UPI000258F507; UPI0006150FC8; E2AF09; UPI00059C1D93; F4WLY9; UPI000580C54D; W4WW39; UPI0005FA1C16; UPI0005F48226; E2B8W2; UPI00058B12CC; B1A4F7; UPI000629497B; UPI000252AD95; UPI00063F3FCA; UPI00063FA47A; UPI00063ED62D; E9J878; UPI000595C870; UPI0005B95DF2; A0A026WEB2; UPI0005BE0D4C; UPI0005BAC620; UPI00021A787A; UPI00022C8F44; UPI0005EEBFF0; UPI0005F079A6	Apis mellifera (Honeybee); Apis dorsata (Giant honeybee); Linepithema humile (Argentine ant) (Iridomyrmex humilis); Vespa basalis (Hornet); Pogonomyrmex barbatus (red harvester ant); Megachile rotundata (alfalfa leafcutting bee); Camponotus floridanus (Florida carpenter ant); Acromyrmex echinatior (Panamanian leafcutter ant) (Acromyrmex octospinosus echinatior); Atta cephalotes (Leafcutter ant); Vollenhovia emeryi; Harpegnathos saltator (Jerdons jumping ant); Vespula vulgaris (Yellow jacket) (Wasp); Apis florea (Dwarf honeybee); Monomorium pharaonis (Pharaoh ant); Solenopsis invicta (Red imported fire ant) (Solenopsis wagneri); Cerapachys biroi (Ant); Bombus terrestris (Buff-tailed bumblebee) (Apis terrestris); Bombus impatiens (Bumblebee); Wasmannia auropunctata (little fire ant)	775	50%
UniRef50_B2D0J5	partially reviewed	Cluster: Venom carboxylesterase-6	12	B2D0J5; A0A088AQ41; UPI0005ACE38D; A0A0C9QWB0; E2AJL8; A0A0C9PIH0; UPI0005AC49CA; A0A0C9PV54; UPI0005ABD1B7; E2BFT9; UPI0005CF1221; K7J7S8	Apis mellifera (Honeybee); Fopius arisanus; Camponotus floridanus (Florida carpenter ant); Harpegnathos saltator (Jerdons jumping ant); Ceratosolen solmsi marchali; Nasonia vitripennis (Parasitic wasp)	557	50%
UniRef50_B2DCR8	reviewed	Cluster: SE-cephalotoxin	1	B2DCR8	Sepia esculenta (Golden cuttlefish) (Diphtherosepion dabryi)	1052	50%
UniRef50_B2G331	reviewed	Cluster: Analgesic polypeptide HC1	2	B2G331; P0DMJ5	Heteractis crispa (Leathery sea anemone) (Radianthus macrodactylus)	78	50%
UniRef50_B3A0L5	reviewed	Cluster: Kappa-buthitoxin-Tt2b	3	B3A0L5; P0C183; P86271	Tityus trivittatus (Argentinean scorpion); Tityus serrulatus (Brazilian scorpion)	28	50%
UniRef50_B3A0N1	partially reviewed	Cluster: Venom prothrombin activator (Fragment)	2	B3A0N1; A0A084QVP1	Bothrops atrox (Barba amarilla) (Fer-de-lance); Stachybotrys chlorohalonata IBT 40285	15	50%
